IsoCode;TypeOfFoodID;TypeOfNutritionalFactId;SupplyQuantity
UGA;3;1;0.1865
UKR;3;1;1.2848
ARE;3;1;0.9505
GBR;3;1;1.5607
TZA;3;1;0.313
USA;3;1;1.3009
URY;3;1;1.0785
UZB;3;1;0.6123
VUT;3;1;0.667
VEN;3;1;0.6007
VNM;3;1;0.9363
YEM;3;1;0.3394
ZMB;3;1;0.323
ZWE;3;1;0.6904
AFG;4;1;0
ALB;4;1;0
DZA;4;1;0
AGO;4;1;0
ATG;4;1;0
ARG;4;1;0
ARM;4;1;0
AUS;4;1;0
AUT;4;1;0
AZE;4;1;0
BHS;4;1;0
BGD;4;1;0
BRB;4;1;0
BLR;4;1;0
BEL;4;1;0
BLZ;4;1;0
BEN;4;1;0
BOL;4;1;0
BIH;4;1;0
BWA;4;1;0
BRA;4;1;0
BGR;4;1;0
BFA;4;1;0
CPV;4;1;0
KHM;4;1;0
CMR;4;1;0
CAN;4;1;0
CAF;4;1;0
TCD;4;1;0
CHL;4;1;0
CHN;4;1;0.0209
COL;4;1;0
COG;4;1;0
CRI;4;1;0
CIV;4;1;0
HRV;4;1;0
CUB;4;1;0
CYP;4;1;0
CZE;4;1;0
DNK;4;1;0
DJI;4;1;0
DMA;4;1;0
DOM;4;1;0
ECU;4;1;0
EGY;4;1;0
SLV;4;1;0
EST;4;1;0
SWZ;4;1;0
ETH;4;1;0
FJI;4;1;0
FIN;4;1;0
FRA;4;1;0
PYF;4;1;0
GAB;4;1;0
GMB;4;1;0
GEO;4;1;0
DEU;4;1;0
GHA;4;1;0
GRC;4;1;0
GRD;4;1;0
GTM;4;1;0
GIN;4;1;0
GNB;4;1;0
GUY;4;1;0
HTI;4;1;0
HND;4;1;0
HUN;4;1;0
ISL;4;1;0
IND;4;1;0
IDN;4;1;0
IRN;4;1;0
IRQ;4;1;0
IRL;4;1;0
ISR;4;1;0
ITA;4;1;0
JAM;4;1;0
JPN;4;1;0.0185
JOR;4;1;0
KAZ;4;1;0
KEN;4;1;0
KIR;4;1;0
PRK;4;1;0
KOR;4;1;0.4007
KWT;4;1;0
KGZ;4;1;0
LAO;4;1;0
LVA;4;1;0
LBN;4;1;0
LSO;4;1;0
LBR;4;1;0
LTU;4;1;0
LUX;4;1;0
MDG;4;1;0
MWI;4;1;0
MYS;4;1;0
MDV;4;1;0
MLI;4;1;0
MLT;4;1;0
MRT;4;1;0
MUS;4;1;0
MEX;4;1;0
MNG;4;1;0
MNE;4;1;0
MAR;4;1;0
MOZ;4;1;0
MMR;4;1;0
NAM;4;1;0
NPL;4;1;0
NLD;4;1;0
NCL;4;1;0
NZL;4;1;0
NIC;4;1;0
NER;4;1;0
NGA;4;1;0
MKD;4;1;0
NOR;4;1;0
OMN;4;1;0
PAK;4;1;0
PAN;4;1;0
PRY;4;1;0
PER;4;1;0
PHL;4;1;0
POL;4;1;0
PRT;4;1;0
MDA;4;1;0
ROU;4;1;0
RUS;4;1;0
RWA;4;1;0
KNA;4;1;0
LCA;4;1;0
VCT;4;1;0
WSM;4;1;0.0336
STP;4;1;0
SAU;4;1;0
SEN;4;1;0
SRB;4;1;0
SLE;4;1;0
SVK;4;1;0
SVN;4;1;0
SLB;4;1;0
ZAF;4;1;0
ESP;4;1;0
LKA;4;1;0
SDN;4;1;0
SUR;4;1;0
SWE;4;1;0
CHE;4;1;0
TWN;4;1;0
TJK;4;1;0
THA;4;1;0
TLS;4;1;0
TGO;4;1;0
TTO;4;1;0
TUN;4;1;0
TUR;4;1;0
TKM;4;1;0
UGA;4;1;0
UKR;4;1;0
ARE;4;1;0
GBR;4;1;0
TZA;4;1;0
USA;4;1;0
URY;4;1;0
UZB;4;1;0
VUT;4;1;0
VEN;4;1;0
VNM;4;1;0
YEM;4;1;0
ZMB;4;1;0
ZWE;4;1;0
AFG;5;1;37.1186
ALB;5;1;16.2107
DZA;5;1;25.0112
AGO;5;1;18.3521
ATG;5;1;13.7215
ARG;5;1;16.7927
ARM;5;1;19.2658
AUS;5;1;11.643
AUT;5;1;12.3748
AZE;5;1;28.7417
BHS;5;1;10.7274
BGD;5;1;37.5265
BRB;5;1;15.3514
BLR;5;1;14.2705
BEL;5;1;13.0441
BLZ;5;1;18.9064
BEN;5;1;18.4755
BOL;5;1;21.644
BIH;5;1;21.233
BWA;5;1;22.3932
BRA;5;1;14.5913
BGR;5;1;17.931
BFA;5;1;31.6051
CPV;5;1;23.8171
KHM;5;1;33.0166
CMR;5;1;20.5201
