IsoCode;AgeFactorId;AgeIndex
POL;3;16.763
PRT;3;21.502
PRI;3;15.168
QAT;3;1.307
ROU;3;17.85
RUS;3;14.178
RWA;3;2.974
LCA;3;9.721
VCT;3;7.724
STP;3;2.886
SAU;3;3.295
SEN;3;3.008
SRB;3;17.366
SYC;3;8.606
SLE;3;2.538
SGP;3;12.922
SVK;3;15.07
SVN;3;19.062
SOM;3;2.731
ZAF;3;5.344
KOR;3;13.914
SSD;3;3.441
ESP;3;19.436
LKA;3;10.069
SDN;3;3.548
SUR;3;6.933
SWZ;3;3.163
SWE;3;19.985
CHE;3;18.436
TJK;3;3.466
TZA;3;3.108
THA;3;11.373
TLS;3;3.556
TGO;3;2.839
TTO;3;10.014
TUN;3;8.001
TUR;3;8.153
UGA;3;2.168
UKR;3;16.462
ARE;3;1.144
GBR;3;18.517
USA;3;15.413
VIR;3;18.601
URY;3;14.655
UZB;3;4.469
VEN;3;6.614
VNM;3;7.15
YEM;3;2.922
ZMB;3;2.48
ZWE;3;2.822
AFG;1;64.83
ALB;1;78.57
DZA;1;76.88
AND;1;83.73
AGO;1;61.15
AIA;1;81.88
ATG;1;77.02
ARG;1;76.67
ARM;1;75.09
ABW;1;76.29
AUS;1;83.44
AUT;1;81.54
AZE;1;73.0
BHS;1;73.92
BHR;1;77.29
BGD;1;72.59
BRB;1;79.19
BLR;1;74.79
BEL;1;81.63
BLZ;1;74.62
BEN;1;61.77
BMU;1;82.59
BTN;1;71.78
BOL;1;71.51
BES;1;77.79
BIH;1;77.4
BWA;1;69.59
BRA;1;75.88
VGB;1;79.07
BRN;1;75.86
BGR;1;75.05
BFA;1;61.58
BDI;1;61.58
KHM;1;69.82
CMR;1;59.29
CAN;1;82.43
CPV;1;72.98
CYM;1;83.92
CAF;1;53.28
TCD;1;54.24
CHL;1;80.18
CHN;1;76.91
COL;1;77.29
COM;1;64.32
COG;1;64.57
CRI;1;80.28
CIV;1;57.78
HRV;1;78.49
CUB;1;78.8
CUW;1;78.88
CYP;1;80.98
CZE;1;79.38
COD;1;60.68
DNK;1;80.9
DMA;1;75.0
DOM;1;74.08
ECU;1;77.01
EGY;1;71.99
SLV;1;73.32
GNQ;1;58.74
ERI;1;66.32
EST;1;78.74
ETH;1;66.6
FRO;1;80.67
FLK;1;81.44
FJI;1;67.44
FIN;1;81.91
FRA;1;82.66
PYF;1;77.66
GAB;1;66.47
GMB;1;62.05
GEO;1;73.77
DEU;1;81.33
GHA;1;64.07
GIB;1;79.93
GRC;1;82.24
GRL;1;71.7
GRD;1;72.4
GUM;1;80.07
GTM;1;74.3
GIN;1;61.6
GNB;1;58.32
